timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
1730864339656,-4.605700,0.882200,-1.742000,0.243000,0.171800,9.663900,0.049500,0.035000,1.970200
1730864339666,-4.613100,0.867300,-1.742000,0.238900,0.175400,9.651300,0.048700,0.035700,1.967600
1730864339676,-4.583200,0.912100,-1.772000,0.256800,0.184400,9.655500,0.049100,0.037800,1.967800
1730864339686,-4.695400,0.986900,-1.712100,0.241200,0.180800,9.648300,0.050100,0.036800,1.967000
1730864339696,-4.560800,0.986900,-1.764500,0.247800,0.176000,9.662700,0.050500,0.035800,1.969900
1730864339706,-4.530900,0.942000,-1.742000,0.240600,0.180200,9.664500,0.049000,0.036700,1.970300
1730864339714,-4.643000,0.904600,-1.816800,0.235300,0.182600,9.652500,0.047900,0.037200,1.967800
1730864339724,-4.575800,0.904600,-1.742000,0.230500,0.191000,9.654300,0.046900,0.038900,1.968200
1730864339735,-4.770200,0.927100,-1.667300,0.241200,0.175400,9.655500,0.048800,0.037100,1.968100
1730864339745,-4.403800,0.904600,-1.682200,0.246600,0.180200,9.650700,0.050200,0.036700,1.967500
1730864339755,-4.478600,0.964500,-1.697200,0.247800,0.186200,9.672200,0.050500,0.037900,1.971900
1730864339765,-4.486000,0.897200,-1.689700,0.244200,0.183800,9.678200,0.049800,0.037400,1.973100
1730864339775,-4.478600,0.904600,-1.704700,0.241800,0.179600,9.662100,0.049300,0.036600,1.969800
1730864339786,-4.433700,0.889700,-1.644800,0.253200,0.186200,9.651300,0.051600,0.037900,1.972200
1730864339795,-4.448600,0.837400,-1.704700,0.236500,0.179000,9.674000,0.049100,0.037300,1.968700
1730864339805,-4.471100,0.979400,-1.734600,0.246600,0.191000,9.670400,0.050200,0.038900,1.971500
1730864339815,-4.463600,0.971900,-1.719600,0.244800,0.180800,9.671000,0.049900,0.036800,1.971600
1730864339825,-4.381400,0.934600,-1.712100,0.235900,0.184400,9.656700,0.048000,0.037500,1.968700
1730864339835,-4.441200,0.912100,-1.734600,0.251400,0.186200,9.662700,0.051200,0.037900,1.969900
1730864339845,-4.598200,0.971900,-1.801900,0.243000,0.178400,9.660900,0.048400,0.036700,1.970300
1730864339855,-4.725300,-1.061700,-1.764500,0.237700,0.180200,9.659700,0.050900,0.036700,1.969300
1730864339865,-4.747700,0.874700,-1.809300,0.241800,0.183200,9.666800,0.049300,0.037300,1.970800
1730864339875,-4.620600,0.814900,-1.704700,0.231700,0.185600,9.650700,0.047200,0.037800,1.967500
1730864339885,-4.635600,0.957000,-1.794400,0.247800,0.181400,9.650100,0.050500,0.036900,1.967400
1730864339895,-4.613100,-1.009300,-1.712100,0.251400,0.187400,9.680000,0.051200,0.038200,1.973500
1730864339905,-4.702900,0.942000,-1.794400,0.240100,0.189800,9.671000,0.049500,0.035800,1.968700
1730864339915,-4.747700,0.882200,-1.764500,0.249600,0.177200,9.642300,0.050900,0.036100,1.965800
1730864339925,-4.575800,0.829900,-1.824300,0.242400,0.173000,9.646500,0.049400,0.035200,1.966600
1730864339935,-4.590700,0.844800,-1.831800,0.240100,0.179600,9.668600,0.048900,0.036600,1.971100
1730864339945,-4.598200,0.986900,-1.772000,0.242400,0.182600,9.680600,0.049400,0.037200,1.973600
1730864339955,-4.613100,-1.001800,-1.786900,0.237100,0.185000,9.678200,0.048300,0.037700,1.967000
1730864339965,-4.650500,0.994400,-1.652300,0.243600,0.184400,9.648300,0.049400,0.036800,1.966400
1730864339975,-4.770200,0.979400,-1.727100,0.243000,0.181400,9.653700,0.049500,0.036900,1.968100
1730864339985,-4.635600,0.942000,-1.697200,0.249600,0.179600,9.663900,0.050900,0.036600,1.970200
1730864339995,-4.717800,0.971900,-1.727100,0.242400,0.182600,9.666200,0.049400,0.037200,1.970700
1730864340005,-4.702900,0.942000,-1.801900,0.239500,0.185000,9.656700,0.048800,0.037700,1.968700
1730864340015,-4.695400,0.927100,-1.794400,0.247800,0.185000,9.650700,0.047400,0.037300,1.968700
1730864340025,-4.433700,0.867300,-1.764500,0.232900,0.182600,9.660900,0.051700,0.037200,1.969600
1730864340035,-4.486000,0.882200,-1.712100,0.249000,0.171200,9.678200,0.050700,0.034900,1.973100
1730864340044,-4.628100,0.882200,-1.719600,0.239500,0.174800,9.655500,0.048800,0.035600,1.968500
1730864340054,-4.598200,0.986900,-1.689700,0.247200,0.197500,9.630900,0.050400,0.040200,1.963500
1730864340064,-4.523400,0.957000,-1.727100,0.243600,0.182000,9.657900,0.049600,0.037100,1.968900
1730864340074,-4.553300,0.949500,-1.704700,0.244800,0.186200,9.654300,0.050600,0.036700,1.972500
1730864340084,-4.628100,0.942000,-1.764500,0.239500,0.178400,9.656100,0.048800,0.036300,1.968600
1730864340094,-4.568300,0.949500,-1.719600,0.239500,0.176600,9.650700,0.048800,0.036000,1.967500
1730864340103,-4.583200,0.986900,-1.727100,0.235300,0.177800,9.654300,0.047900,0.036200,1.968200
1730864340113,-4.605700,0.979400,-1.779400,0.245400,0.185000,9.660300,0.050000,0.037700,1.969400
1730864340124,-4.560800,0.859800,-1.727100,0.243000,0.185600,9.664500,0.049500,0.037800,1.970300
1730864340134,-4.650500,0.979400,-1.749500,0.239500,0.182600,9.666800,0.049400,0.035000,1.967700
1730864340144,-4.702900,-1.039200,-1.772000,0.247200,0.182000,9.647100,0.050400,0.037100,1.966700
1730864340154,-4.605700,-1.031700,-1.757000,0.244800,0.178400,9.669800,0.049900,0.036300,1.971400
1730864340164,-4.598200,0.927100,-1.719600,0.237700,0.180200,9.669200,0.048400,0.036700,1.971300
1730864340174,-4.650500,0.971900,-1.749500,0.243000,0.182000,9.660900,0.049500,0.037100,1.969600
1730864340184,-4.575800,0.971900,-1.742000,0.245400,0.186200,9.686000,0.050700,0.037400,1.971100
1730864340194,-4.605700,0.964500,-1.727100,0.249000,0.180200,9.669200,0.053100,0.036700,1.971300
1730864340204,-4.553300,0.934600,-1.749500,0.246600,0.184400,9.665100,0.050200,0.037500,1.970400
1730864340214,-4.583200,0.927100,-1.749500,0.243600,0.176600,9.666800,0.049600,0.036000,1.970800
1730864340224,-4.545800,0.934600,-1.764500,0.259200,0.182600,9.660300,0.052800,0.037200,1.969400
1730864340234,-4.590700,-1.009300,-1.786900,0.241800,0.179000,9.662100,0.049300,0.036400,1.969800
1730864340244,-4.635600,0.912100,-1.742000,0.238300,0.179600,9.650700,0.047200,0.036800,1.971600
1730864340254,-4.613100,0.912100,-1.644800,0.244200,0.178400,9.672200,0.049800,0.036300,1.971900
1730864340264,-4.501000,0.897200,-1.659800,0.235300,0.183200,9.676400,0.047900,0.037300,1.972700
1730864340274,-4.418700,0.859800,-1.697200,0.240600,0.179600,9.671600,0.049000,0.036600,1.971800
1730864340284,-4.396300,0.912100,-1.592500,0.247200,0.177200,9.685400,0.050400,0.036100,1.974600
1730864340294,-4.411300,0.852300,-1.517700,0.246600,0.183800,9.662100,0.050200,0.037400,1.969800
1730864340304,-4.530900,0.882200,-1.809300,0.244800,0.183200,9.669800,0.050700,0.038800,1.973600
1730864340314,-4.687900,0.859800,-1.704700,0.239500,0.186200,9.662700,0.048800,0.037900,1.969900
1730864340324,-4.448600,0.837400,-1.644800,0.232900,0.184400,9.658500,0.047400,0.037500,1.969100
1730864340334,-4.583200,0.792500,-1.719600,0.233500,0.187400,9.681200,0.047600,0.038200,1.973700
1730864340344,-4.613100,0.814900,-1.659800,0.246000,0.180200,9.686600,0.050100,0.036700,1.974800
1730864340354,-4.665500,0.785000,-1.704700,0.256200,0.179600,9.666800,0.051800,0.037800,1.971800
1730864340364,-4.680400,0.777500,-1.742000,0.254400,0.176000,9.676400,0.051800,0.035800,1.972700
1730864340373,-4.575800,0.643000,-1.622400,0.248400,0.167000,9.677000,0.050600,0.034000,1.972900
1730864340383,-4.545800,0.680300,-1.607500,0.249000,0.170600,9.672800,0.050700,0.034700,1.972000
1730864340393,-4.643000,0.628000,-1.712100,0.266400,0.180800,9.695000,0.054300,0.036800,1.976500
1730864340402,-4.717800,0.605600,-1.674800,0.226300,0.203500,9.660900,0.046100,0.041500,1.969600
1730864340414,-4.650500,0.583100,-1.749500,0.270600,0.178400,9.683600,0.052100,0.035700,1.978600
1730864340423,-4.673000,0.471000,-1.712100,0.235300,0.183800,9.699200,0.047900,0.037400,1.977400
1730864340433,-4.785100,0.418700,-1.712100,0.246600,0.175400,9.675200,0.050200,0.035700,1.972500
1730864340442,-4.844900,0.426100,-1.757000,0.232900,0.180200,9.647100,0.047400,0.036700,1.966700
1730864340452,-4.755200,0.418700,-1.727100,0.216700,0.173000,9.653700,0.044100,0.035200,1.968100
1730864340463,-4.949600,0.553200,-1.779400,0.227500,0.186200,9.674600,0.046300,0.037900,1.972400
1730864340473,-4.822500,0.657900,-1.824300,0.233500,0.176600,9.671600,0.045700,0.035800,1.967000
1730864340483,-4.859900,0.650400,-1.734600,0.235900,0.153800,9.619500,0.048000,0.031300,1.961100
1730864340493,-4.710300,0.680300,-1.749500,0.250800,0.159200,9.642300,0.051100,0.032400,1.965800
1730864340503,-4.687900,0.657900,-1.749500,0.318500,0.140700,9.611800,0.064900,0.028600,1.959500
