timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
1730861901292,-2.428500,0.473400,0.991800,0.305300,0.033500,9.672800,-127.500000,-14.000000,4038.750000
1730861901292,-2.363200,0.497900,-1.036700,0.308900,0.048400,9.659100,-129.000000,-20.250000,4033.000000
1730861901292,-2.395900,0.481600,-1.028500,0.307100,0.029300,9.673400,-129.000000,-12.500000,4038.500000
1730861901293,-2.330600,0.497900,0.991800,0.313100,0.041300,9.668600,-130.750000,-17.250000,4037.000000
1730861901293,-2.428500,0.506100,-1.036700,0.297500,0.041300,9.663300,-124.250000,-17.250000,4034.750000
1730861901293,-2.444800,0.465300,-1.040800,0.299900,0.038900,9.668600,-124.500000,-14.000000,4038.500000
1730861901294,-2.404000,0.506100,-1.000000,0.306500,0.043100,9.683000,-128.000000,-18.000000,4043.000000
1730861901294,-2.400000,0.469300,0.971400,0.304700,0.037700,9.675200,-127.250000,-15.750000,4039.750000
1730861901294,-2.404000,0.497900,0.955100,0.308300,0.035900,9.678200,-128.000000,-9.250000,4041.000000
1730861901295,-2.351000,0.453000,-1.016300,0.305900,0.025100,9.675800,-127.750000,-10.500000,4040.000000
1730861901295,-2.363200,0.465300,-1.032600,0.307700,0.037100,9.678800,-128.500000,-15.500000,4041.250000
1730861901295,-2.338700,0.457100,-1.000000,0.304700,0.030500,9.672800,-127.250000,-12.750000,4038.750000
1730861901296,-2.469300,0.502000,-1.012200,0.296900,0.035300,9.674000,-124.000000,-14.750000,4039.250000
1730861901296,-2.371400,0.497900,-1.012200,0.294500,0.037700,9.671000,-123.000000,-15.750000,4038.000000
1730861901296,-2.371400,0.432600,0.987700,0.290900,0.039500,9.668600,-121.500000,-16.500000,4037.000000
1730861901296,-2.367300,0.493800,0.991800,0.313700,0.039500,9.680000,-131.000000,-16.500000,4041.750000
1730861901297,-2.502000,0.502000,-1.016300,0.315500,0.022100,9.667400,-129.000000,-7.500000,4039.500000
1730861901297,-2.412200,0.457100,-1.081600,0.303500,0.038900,9.675200,-126.750000,-16.250000,4039.750000
1730861901297,-2.473400,0.522400,-1.065300,0.302300,0.029900,9.678200,-126.250000,-12.500000,4041.000000
1730861901298,-2.428500,0.465300,-2.053000,0.302300,0.038300,9.674600,-124.750000,-20.250000,4028.750000
1730861901298,-2.444800,0.518300,-1.036700,0.310700,0.044300,9.675200,-129.750000,-18.500000,4039.750000
1730861901298,-2.510200,0.457100,-1.036700,0.305300,0.037100,9.663300,-127.500000,-15.500000,4034.750000
1730861901299,-2.493800,0.485700,-1.040800,0.282000,0.036500,9.581200,-112.000000,-24.250000,4033.750000
1730861901299,-2.465300,0.461200,0.995900,0.307700,0.055000,9.696200,-128.500000,-23.000000,4048.500000
1730861901299,-2.473400,0.522400,-1.065300,0.311900,0.040700,9.687800,-130.250000,-17.000000,4045.000000
1730861901299,-2.412200,0.416300,-1.053000,0.299300,0.014300,9.668600,-118.750000,-19.250000,4037.000000
1730861901300,-2.400000,0.502000,-1.016300,0.311900,0.046100,9.669200,-130.250000,-19.250000,4037.250000
1730861901300,-2.432600,0.473400,0.987700,0.302900,0.027500,9.681800,-126.500000,-11.500000,4042.500000
1730861901300,-2.457100,0.510200,-1.032600,0.291500,0.034100,9.665100,-121.750000,-14.250000,4035.500000
1730861901301,-2.404000,0.510200,0.983600,0.305300,0.049000,9.669200,-127.500000,-20.500000,4037.250000
1730861901301,-2.440800,0.506100,-1.020400,0.310700,0.034700,9.680000,-129.750000,-14.500000,4041.750000
1730861901301,-2.326500,0.489700,-1.004000,0.307100,0.044900,9.669800,-128.250000,-18.750000,4037.500000
1730861901302,-2.395900,0.506100,-1.061200,0.312500,0.049600,9.683000,-130.500000,-20.750000,4043.000000
1730861901302,-2.416300,0.457100,-1.024400,0.291500,0.041900,9.672200,-122.000000,-10.750000,4038.500000
1730861901302,-2.444800,0.538700,0.975500,0.308300,0.031100,9.670400,-128.750000,-13.000000,4037.750000
1730861901303,-2.391800,0.530600,-1.000000,0.304700,0.056200,9.672200,-127.250000,-23.500000,4038.500000
1730861901303,-2.465300,0.542800,-2.085700,0.299300,0.037700,9.674600,-128.250000,-13.750000,4037.000000
1730861901303,-2.444800,0.530600,-1.044800,0.293900,0.037700,9.672800,-122.750000,-15.750000,4038.750000
1730861901304,-2.440800,0.453000,-1.020400,0.282600,0.045500,9.675800,-118.000000,-19.000000,4040.000000
1730861901304,-2.424400,0.481600,-1.020400,0.292100,0.047900,9.665600,-117.500000,-16.750000,4039.750000
1730861901304,-2.379500,0.526500,0.991800,0.307100,0.032300,9.676400,-128.250000,-13.500000,4040.250000
1730861901304,-2.424400,0.493800,-1.028500,0.305300,0.025700,9.679400,-127.500000,-10.750000,4041.500000
1730861901305,-2.416300,0.559100,-1.077500,0.286800,0.032300,9.688400,-117.250000,-13.500000,4045.250000
1730861901305,-2.322400,0.481600,0.967300,0.310700,0.028100,9.680000,-129.750000,-11.750000,4041.750000
1730861901305,-2.355100,0.469300,-1.008100,0.330500,0.028700,9.676400,-138.000000,-12.000000,4040.250000
1730861901306,-2.416300,0.571400,-1.069300,0.322700,0.048400,9.671600,-134.750000,-20.250000,4038.250000
1730861901306,-2.469300,0.542800,-1.053000,0.300500,0.039500,9.678200,-125.500000,-16.500000,4041.000000
1730861901306,-2.432600,0.497900,0.955100,0.297500,0.044300,9.668000,-124.250000,-18.500000,4036.750000
1730861901307,-2.453000,0.448900,-1.028500,0.305900,0.035300,9.678800,-127.750000,-14.750000,4041.250000
1730861901307,-2.563200,0.453000,-1.089700,0.313700,0.050200,9.668600,-131.000000,-21.000000,4037.000000
1730861901307,-2.400000,0.534600,-1.004000,0.306500,0.038900,9.679400,-130.500000,-16.000000,4042.500000
1730861901307,-2.379500,0.477500,0.995900,0.309500,0.037700,9.674000,-129.250000,-15.750000,4039.250000
1730861901308,-2.493800,0.530600,-1.085700,0.285000,0.031100,9.679400,-119.000000,-13.000000,4041.500000
1730861901308,-2.502000,0.518300,-1.048900,0.301100,0.026300,9.679400,-130.750000,-12.750000,4042.000000
